요1:1 태초에말씀이계시니라이말씀이하나님과함께계셨으니이말씀은곧하나님이시니라
요7:22 모세가너희에게할례를행했으니(그러나할례는모세에게서난것이아니요조상들에게서난것이라)그러므로너희가안식일에도사람에게할례를행하느니라
요7:23 모세의율법을범하지아니하려고사람이안식일에도할례를받는일이있거든내가안식일에사람의전신을건전하게한것으로너희가내게노여워하느냐
요7:24 외모로판단하지말고공의롭게판단하라하시니라
요7:25 예루살렘사람중에서어떤사람이말하되이는그들이죽이고자하는그사람이아니냐
요7:26 보라드러나게말하되그들이아무말도아니하는도다당국자들은이사람을참으로그리스도인줄알았는가
요7:27 그러나우리는이사람이어디서왔는지아노라그리스도께서오실때에는어디서오시는지아는자가없으리라하는지라
요7:28 예수께서성전에서가르치시며외쳐이르시되너희가나를알고내가어디서온것도알거니와내가스스로온것이아니니라나를보내신이는참되시니너희는그를알지못하나
요7:29 나는아노니이는내가그에게서났고그가나를보내셨음이라하시니
요7:30 그들이예수를잡고자하나손을대는자가없으니이는그의때가아직이르지아니하였음이러라
요7:31 무리중의많은사람이예수를믿고말하되그리스도께서오실지라도그행하실표적이이사람이행한것보다더많으랴하니
요7:32 예수에대하여무리가수군거리는것이바리새인들에게들린지라대제사장들과바리새인들이그를잡으려고아랫사람들을보내니
요7:33 예수께서이르시되내가너희와함께조금더있다가나를보내신이에게로돌아가겠노라
요7:34 너희가나를찾아도만나지못할터이요나있는곳에오지도못하리라하시니
요7:35 이에유대인들이서로묻되이사람이어디로가기에우리가그를만나지못하리요헬라인중에흩어져사는자들에게로가서헬라인을가르칠터인가
요7:36 나를찾아도만나지못할터이요나있는곳에오지도못하리라한이말이무슨말이냐하니라
요7:37 명절끝날곧큰날에예수께서서서외쳐이르시되누구든지목마르거든내게로와서마시라
요7:38 나를믿는자는성경에이름과같이그배에서생수의강이흘러나오리라하시니
요7:39 이는그를믿는자들이받을성령을가리켜말씀하신것이라(예수께서아직영광을받지않으셨으므로성령이아직그들에게계시지아니하시더라)
요7:40 이말씀을들은무리중에서어떤사람은이사람이참으로그선지자라하며
요7:41 어떤사람은그리스도라하며어떤이들은그리스도가어찌갈릴리에서나오겠느냐
요7:42 성경에이르기를그리스도는다윗의씨로또다윗이살던마을베들레헴에서나오리라하지아니하였느냐하며
요7:43 예수로말미암아무리중에서쟁론이되니
요7:44 그중에는그를잡고자하는자들도있으나손을대는자가없었더라
요7:45 아랫사람들이대제사장들과바리새인들에게로오니그들이묻되어찌하여잡아오지아니하였느냐
요7:46 아랫사람들이대답하되그사람이말하는것처럼말한사람은이때까지없었나이다하니
요7:47 바리새인들이대답하되너희도미혹되었느냐
요7:48 당국자들이나바리새인중에그를믿는자가있느냐
요7:49 율법을알지못하는이무리는저주를받은자로다
요7:50 그중의한사람곧전에예수께왔던니고데모가그들에게말하되
요7:51 우리율법은사람의말을듣고그행한것을알기전에심판하느냐
요7:52 그들이대답하여이르되너도갈릴리에서왔느냐찾아보라갈릴리에서는선지자가나지못하느니라하였더라
요7:53 [다각각집으로돌아가고
요8:1 예수는감람산으로가시니라
요8:2 아침에다시성전으로들어오시니백성이다나아오는지라앉으사그들을가르치시더니
요8:3 서기관들과바리새인들이음행중에잡힌여자를끌고와서가운데세우고
요8:4 예수께말하되선생이여이여자가간음하다가현장에서잡혔나이다
요8:5 모세는율법에이러한여자를돌로치라명하였거니와선생은어떻게말하겠나이까
요8:6 그들이이렇게말함은고발할조건을얻고자하여예수를시험함이러라예수께서몸을굽히사손가락으로땅에쓰시니
요8:7 그들이묻기를마지아니하는지라이에일어나이르시되너희중에죄없는자가먼저돌로치라하시고
요8:8 다시몸을굽혀손가락으로땅에쓰시니
요8:9 그들이이말씀을듣고양심에가책을느껴어른으로시작하여젊은이까지하나씩하나씩나가고오직예수와그가운데섰는여자만남았더라
요8:10 예수께서일어나사여자외에아무도없는것을보시고이르시되여자여너를고발하던그들이어디있느냐너를정죄한자가없느냐
요8:11 대답하되주여없나이다예수께서이르시되나도너를정죄하지아니하노니가서다시는죄를범하지말라하시니라]
요8:12 예수께서또말씀하여이르시되나는세상의빛이니나를따르는자는어둠에다니지아니하고생명의빛을얻으리라
요8:13 바리새인들이이르되네가너를위하여증언하니네증언은참되지아니하도다
요8:14 예수께서대답하여이르시되내가나를위하여증언하여도내증언이참되니나는내가어디서오며어디로가는것을알거니와너희는내가어디서오며어디로가는것을알지못하느니라
요8:15 너희는육체를따라판단하나나는아무도판단하지아니하노라
요8:16 만일내가판단하여도내판단이참되니이는내가혼자있는것이아니요나를보내신이가나와함께계심이라
요8:17 너희율법에도두사람의증언이참되다기록되었으니
요8:18 내가나를위하여증언하는자가되고나를보내신아버지도나를위하여증언하시느니라
요8:19 이에그들이묻되네아버지가어디있느냐예수께서대답하시되너희는나를알지못하고내아버지도알지못하는도다나를알았더라면내아버지도알았으리라
요8:20 이말씀은성전에서가르치실때에헌금함앞에서하셨으나잡는사람이없으니이는그의때가아직이르지아니하였음이러라
요8:21 다시이르시되내가가리니너희가나를찾다가너희죄가운데서죽겠고내가가는곳에는너희가오지못하리라
요8:22 유대인들이이르되그가말하기를내가가는곳에는너희가오지못하리라하니그가자결하려는가
요8:23 예수께서이르시되너희는아래에서났고나는위에서났으며너희는이세상에속하였고나는이세상에속하지아니하였느니라
요8:24 그러므로내가너희에게말하기를너희가너희죄가운데서죽으리라하였노라너희가만일내가그인줄믿지아니하면너희죄가운데서죽으리라
요8:25 그들이말하되네가누구냐예수께서이르시되나는처음부터너희에게말하여온자니라
요8:26 내가너희에게대하여말하고판단할것이많으나나를보내신이가참되시매내가그에게들은그것을세상에말하노라하시되
요8:27 그들은아버지를가리켜말씀하신줄을깨닫지못하더라
요8:28 이에예수께서이르시되너희가인자를든후에내가그인줄을알고또내가스스로아무것도하지아니하고오직아버지께서가르치신대로이런것을말하는줄도알리라
요8:29 나를보내신이가나와함께하시도다나는항상그가기뻐하시는일을행하므로나를혼자두지아니하셨느니라
요8:30 이말씀을하시매많은사람이믿더라
요8:31 그러므로예수께서자기를믿은유대인들에게이르시되너희가내말에거하면참으로내제자가되고
요8:32 진리를알지니진리가너희를자유롭게하리라
요8:33 그들이대답하되우리가아브라함의자손이라남의종이된적이없거늘어찌하여우리가자유롭게되리라하느냐
요8:34 예수께서대답하시되진실로진실로너희에게이르노니죄를범하는자마다죄의종이라
요8:35 종은영원히집에거하지못하되아들은영원히거하나니
요8:36 그러므로아들이너희를자유롭게하면너희가참으로자유로우리라
요8:37 나도너희가아브라함의자손인줄아노라그러나내말이너희안에있을곳이없으므로나를죽이려하는도다
요8:38 나는내아버지에게서본것을말하고너희는너희아비에게서들은것을행하느니라
요8:39 대답하여이르되우리아버지는아브라함이라하니예수께서이르시되너희가아브라함의자손이면아브라함이행한일들을할것이거늘
요8:40 지금하나님께들은진리를너희에게말한사람인나를죽이려하는도다아브라함은이렇게하지아니하였느니라
요8:41 너희는너희아비가행한일들을하는도다대답하되우리가음란한데서나지아니하였고아버지는한분뿐이시니곧하나님이시로다
요8:42 예수께서이르시되하나님이너희아버지였으면너희가나를사랑하였으리니이는내가하나님께로부터나와서왔음이라나는스스로온것이아니요아버지께서나를보내신것이니라
요8:43 어찌하여내말을깨닫지못하느냐이는내말을들을줄알지못함이로다
요8:44 너희는너희아비마귀에게서났으니너희아비의욕심대로너희도행하고자하느니라그는처음부터살인한자요진리가그속에없으므로진리에서지못하고거짓을말할때마다제것으로말하나니이는그가거짓말쟁이요거짓의아비가되었음이라
요8:45 내가진리를말하므로너희가나를믿지아니하는도다
요8:46 너희중에누가나를죄로책잡겠느냐내가진리를말하는데도어찌하여나를믿지아니하느냐
요8:47 하나님께속한자는하나님의말씀을듣나니너희가듣지아니함은하나님께속하지아니하였음이로다
요8:48 유대인들이대답하여이르되우리가너를사마리아사람이라또는귀신이들렸다하는말이옳지아니하냐
요8:49 예수께서대답하시되나는귀신들린것이아니라오직내아버지를공경함이거늘너희가나를무시하는도다
요8:50 나는내영광을구하지아니하나구하고판단하시는이가계시니라
요8:51 진실로진실로너희에게이르노니사람이내말을지키면영원히죽음을보지아니하리라
요8:52 유대인들이이르되지금네가귀신들린줄을아노라아브라함과선지자들도죽었거늘네말은사람이내말을지키면영원히죽음을맛보지아니하리라하니
요8:53 너는이미죽은우리조상아브라함보다크냐또선지자들도죽었거늘너는너를누구라하느냐
요8:54 예수께서대답하시되내가내게영광을돌리면내영광이아무것도아니거니와내게영광을돌리시는이는내아버지시니곧너희가너희하나님이라칭하는그이시라
요8:55 너희는그를알지못하되나는아노니만일내가알지못한다하면나도너희같이거짓말쟁이가되리라나는그를알고또그의말씀을지키노라
요8:56 너희조상아브라함은나의때볼것을즐거워하다가보고기뻐하였느니라
요8:57 유대인들이이르되네가아직오십세도못되었는데아브라함을보았느냐
요8:58 예수께서이르시되진실로진실로너희에게이르노니아브라함이나기전부터내가있느니라하시니
요8:59 그들이돌을들어치려하거늘예수께서숨어성전에서나가시니라
요9:1 예수께서길을가실때에날때부터맹인된사람을보신지라
요9:2 제자들이물어이르되랍비여이사람이맹인으로난것이누구의죄로인함이니이까자기니이까그의부모니이까
요9:3 예수께서대답하시되이사람이나그부모의죄로인한것이아니라그에게서하나님이하시는일을나타내고자하심이라
요9:4 때가아직낮이매나를보내신이의일을우리가하여야하리라밤이오리니그때는아무도일할수없느니라
요9:5 내가세상에있는동안에는세상의빛이로라
요9:6 이말씀을하시고땅에침을뱉어진흙을이겨그의눈에바르시고
요9:7 이르시되실로암못에가서씻으라하시니(실로암은번역하면보냄을받았다는뜻이라)이에가서씻고밝은눈으로왔더라
요9:8 이웃사람들과전에그가걸인인것을보았던사람들이이르되이는앉아서구걸하던자가아니냐
요9:9 어떤사람은그사람이라하며어떤사람은아니라그와비슷하다하거늘자기말은내가그라하니
요9:10 그들이묻되그러면네눈이어떻게떠졌느냐
요9:11 대답하되예수라하는그사람이진흙을이겨내눈에바르고나더러실로암에가서씻으라하기에가서씻었더니보게되었노라
요9:12 그들이이르되그가어디있느냐이르되알지못하노라하니라
요9:13 그들이전에맹인이었던사람을데리고바리새인들에게갔더라
요9:14 예수께서진흙을이겨눈을뜨게하신날은안식일이라
요9:15 그러므로바리새인들도그가어떻게보게되었는지를물으니이르되그사람이진흙을내눈에바르매내가씻고보나이다하니
요9:16 바리새인중에어떤사람은말하되이사람이안식일을지키지아니하니하나님께로부터온자가아니라하며어떤사람은말하되죄인으로서어떻게이러한표적을행하겠느냐하여그들중에분쟁이있었더니
요9:17 이에맹인되었던자에게다시묻되그사람이네눈을뜨게하였으니너는그를어떠한사람이라하느냐대답하되선지자니이다하니
요9:18 유대인들이그가맹인으로있다가보게된것을믿지아니하고그부모를불러묻되
요9:19 이는너희말에맹인으로났다하는너희아들이냐그러면지금은어떻게해서보느냐
요9:20 그부모가대답하여이르되이사람이우리아들인것과맹인으로난것을아나이다
요9:21 그러나지금어떻게해서보는지또는누가그눈을뜨게하였는지우리는알지못하나이다그에게물어보소서그가장성하였으니자기일을말하리이다
요9:22 그부모가이렇게말한것은이미유대인들이누구든지예수를그리스도로시인하는자는출교하기로결의하였으므로그들을무서워함이러라
요9:23 이러므로그부모가말하기를그가장성하였으니그에게물어보소서하였더라
요9:24 이에그들이맹인이었던사람을두번째불러이르되너는하나님께영광을돌리라우리는이사람이죄인인줄아노라
요9:25 대답하되그가죄인인지내가알지못하나한가지아는것은내가맹인으로있다가지금보는그것이니이다
요9:26 그들이이르되그사람이네게무엇을하였느냐어떻게네눈을뜨게하였느냐
요9:27 대답하되내가이미일렀어도듣지아니하고어찌하여다시듣고자하나이까당신들도그의제자가되려하나이까
요9:28 그들이욕하여이르되너는그의제자이나우리는모세의제자라
요9:29 하나님이모세에게는말씀하신줄을우리가알거니와이사람은어디서왔는지알지못하노라
요9:30 그사람이대답하여이르되이상하다이사람이내눈을뜨게하였으되당신들은그가어디서왔는지알지못하는도다
요9:31 하나님이죄인의말을듣지아니하시고경건하여그의뜻대로행하는자의말은들으시는줄을우리가아나이다
요9:32 창세이후로맹인으로난자의눈을뜨게하였다함을듣지못하였으니
요9:33 이사람이하나님께로부터오지아니하였으면아무일도할수없으리이다
요9:34 그들이대답하여이르되네가온전히죄가운데서나서우리를가르치느냐하고이에쫓아내어보내니라
요9:35 예수께서그들이그사람을쫓아냈다하는말을들으셨더니그를만나사이르시되네가인자를믿느냐
요9:36 대답하여이르되주여그가누구시오니이까내가믿고자하나이다
요9:37 예수께서이르시되네가그를보았거니와지금너와말하는자가그이니라
요9:38 이르되주여내가믿나이다하고절하는지라
요9:39 예수께서이르시되내가심판하러이세상에왔으니보지못하는자들은보게하고보는자들은맹인이되게하려함이라하시니
요9:40 바리새인중에예수와함께있던자들이이말씀을듣고이르되우리도맹인인가
요9:41 예수께서이르시되너희가맹인이되었더라면죄가없으려니와본다고하니너희죄가그대로있느니라
요10:1 내가진실로진실로너희에게이르노니문을통하여양의우리에들어가지아니하고다른데로넘어가는자는절도며강도요
요10:2 문으로들어가는이는양의목자라
요10:3 문지기는그를위하여문을열고양은그의음성을듣나니그가자기양의이름을각각불러인도하여내느니라
요10:4 자기양을다내놓은후에앞서가면양들이그의음성을아는고로따라오되
요10:5 타인의음성은알지못하는고로타인을따르지아니하고도리어도망하느니라
요10:6 예수께서이비유로그들에게말씀하셨으나그들은그가하신말씀이무엇인지알지못하니라
요10:7 그러므로예수께서다시이르시되내가진실로진실로너희에게말하노니나는양의문이라
요10:8 나보다먼저온자는다절도요강도니양들이듣지아니하였느니라
요10:9 내가문이니누구든지나로말미암아들어가면구원을받고또는들어가며나오며꼴을얻으리라
요10:10 도둑이오는것은도둑질하고죽이고멸망시키려는것뿐이요내가온것은양으로생명을얻게하고더풍성히얻게하려는것이라
요10:11 나는선한목자라선한목자는양들을위하여목숨을버리거니와
요10:12 삯꾼은목자가아니요양도제양이아니라이리가오는것을보면양을버리고달아나나니이리가양을물어가고또헤치느니라
요10:13 달아나는것은그가삯꾼인까닭에양을돌보지아니함이나
요10:14 나는선한목자라나는내양을알고양도나를아는것이
요10:15 아버지께서나를아시고내가아버지를아는것같으니나는양을위하여목숨을버리노라
요10:16 또이우리에들지아니한다른양들이내게있어내가인도하여야할터이니그들도내음성을듣고한무리가되어한목자에게있으리라
요10:17 내가내목숨을버리는것은그것을내가다시얻기위함이니이로말미암아아버지께서나를사랑하시느니라
요10:18 이를내게서빼앗는자가있는것이아니라내가스스로버리노라나는버릴권세도있고다시얻을권세도있으니이계명은내아버지에게서받았노라하시니라
요10:19 이말씀으로말미암아유대인중에다시분쟁이일어나니
요10:20 그중에많은사람이말하되그가귀신들려미쳤거늘어찌하여그말을듣느냐하며
요10:21 어떤사람은말하되이말은귀신들린자의말이아니라귀신이맹인의눈을뜨게할수있느냐하더라
요10:22 예루살렘에수전절이이르니때는겨울이라
요10:23 예수께서성전안솔로몬행각에서거니시니
요10:24 유대인들이에워싸고이르되당신이언제까지나우리마음을의혹하게하려하나이까그리스도이면밝히말씀하소서하니
요10:25 예수께서대답하시되내가너희에게말하였으되믿지아니하는도다내가내아버지의이름으로행하는일들이나를증거하는것이거늘
요10:26 너희가내양이아니므로믿지아니하는도다
요10:27 내양은내음성을들으며나는그들을알며그들은나를따르느니라
요10:28 내가그들에게영생을주노니영원히멸망하지아니할것이요또그들을내손에서빼앗을자가없느니라
요10:29 그들을주신내아버지는만물보다크시매아무도아버지손에서빼앗을수없느니라
요10:30 나와아버지는하나이니라하신대
요10:31 유대인들이다시돌을들어치려하거늘
요10:32 예수께서대답하시되내가아버지로말미암아여러가지선한일로너희에게보였거늘그중에어떤일로나를돌로치려하느냐
요10:33 유대인들이대답하되선한일로말미암아우리가너를돌로치려는것이아니라신성모독으로인함이니네가사람이되어자칭하나님이라함이로라
요10:34 예수께서이르시되너희율법에기록된바내가너희를신이라하였노라하지아니하였느냐
요10:35 성경은폐하지못하나니하나님의말씀을받은사람들을신이라하셨거든
요10:36 하물며아버지께서거룩하게하사세상에보내신자가나는하나님의아들이라하는것으로너희가어찌신성모독이라하느냐
요10:37 만일내가내아버지의일을행하지아니하거든나를믿지말려니와
요10:38 내가행하거든나를믿지아니할지라도그일은믿으라그러면너희가아버지께서내안에계시고내가아버지안에있음을깨달아알리라하시니
요10:39 그들이다시예수를잡고자하였으나그손에서벗어나나가시니라
요10:40 다시요단강저편요한이처음으로세례베풀던곳에가사거기거하시니
요10:41 많은사람이왔다가말하되요한은아무표적도행하지아니하였으나요한이이사람을가리켜말한것은다참이라하더라
요10:42 그리하여거기서많은사람이예수를믿으니라
요11:1 어떤병자가있으니이는마리아와그자매마르다의마을베다니에사는나사로라
요11:2 이마리아는향유를주께붓고머리털로주의발을닦던자요병든나사로는그의오라버니더라
요11:3 이에그누이들이예수께사람을보내어이르되주여보시옵소서사랑하시는자가병들었나이다하니
요11:4 예수께서들으시고이르시되이병은죽을병이아니라하나님의영광을위함이요하나님의아들이이로말미암아영광을받게하려함이라하시더라
요11:5 예수께서본래마르다와그동생과나사로를사랑하시더니
요11:6 나사로가병들었다함을들으시고그계시던곳에이틀을더유하시고
요11:7 그후에제자들에게이르시되유대로다시가자하시니
요11:8 제자들이말하되랍비여방금도유대인들이돌로치려하였는데또그리로가시려하나이까
요11:9 예수께서대답하시되낮이열두시간이아니냐사람이낮에다니면이세상의빛을보므로실족하지아니하고
요11:10 밤에다니면빛이그사람안에없는고로실족하느니라
요11:11 이말씀을하신후에또이르시되우리친구나사로가잠들었도다그러나내가깨우러가노라
요11:12 제자들이이르되주여잠들었으면낫겠나이다하더라
요11:13 예수는그의죽음을가리켜말씀하신것이나그들은잠들어쉬는것을가리켜말씀하심인줄생각하는지라
요11:14 이에예수께서밝히이르시되나사로가죽었느니라
요11:15 내가거기있지아니한것을너희를위하여기뻐하노니이는너희로믿게하려함이라그러나그에게로가자하시니
요11:16 디두모라고도하는도마가다른제자들에게말하되우리도주와함께죽으러가자하니라
요11:17 예수께서와서보시니나사로가무덤에있은지이미나흘이라
요11:18 베다니는예루살렘에서가깝기가한오리쯤되매
요11:19 많은유대인이마르다와마리아에게그오라비의일로위문하러왔더니
요11:20 마르다는예수께서오신다는말을듣고곧나가맞이하되마리아는집에앉았더라
요11:21 마르다가예수께여짜오되주께서여기계셨더라면내오라버니가죽지아니하였겠나이다
요11:22 그러나나는이제라도주께서무엇이든지하나님께구하시는것을하나님이주실줄을아나이다
요11:23 예수께서이르시되네오라비가다시살아나리라
요11:24 마르다가이르되마지막날부활때에는다시살아날줄을내가아나이다
요11:25 예수께서이르시되나는부활이요생명이니나를믿는자는죽어도살겠고
요11:26 무릇살아서나를믿는자는영원히죽지아니하리니이것을네가믿느냐
요11:27 이르되주여그러하외다주는그리스도시요세상에오시는하나님의아들이신줄내가믿나이다
요11:28 이말을하고돌아가서가만히그자매마리아를불러말하되선생님이오셔서너를부르신다하니
요11:29 마리아가이말을듣고급히일어나예수께나아가매
요11:30 예수는아직마을로들어오지아니하시고마르다가맞이했던곳에그대로계시더라
요11:31 마리아와함께집에있어위로하던유대인들은그가급히일어나나가는것을보고곡하러무덤에가는줄로생각하고따라가더니
요11:32 마리아가예수계신곳에가서뵈옵고그발앞에엎드리어이르되주께서여기계셨더라면내오라버니가죽지아니하였겠나이다하더라
요11:33 예수께서그가우는것과또함께온유대인들이우는것을보시고심령에비통히여기시고불쌍히여기사
요11:34 이르시되그를어디두었느냐이르되주여와서보옵소서하니
요11:35 예수께서눈물을흘리시더라
요11:36 이에유대인들이말하되보라그를얼마나사랑하셨는가하며
요11:37 그중어떤이는말하되맹인의눈을뜨게한이사람이그사람은죽지않게할수없었더냐하더라
요11:38 이에예수께서다시속으로비통히여기시며무덤에가시니무덤이굴이라돌로막았거늘
요11:39 예수께서이르시되돌을옮겨놓으라하시니그죽은자의누이마르다가이르되주여죽은지가나흘이되었으매벌써냄새가나나이다
요11:40 예수께서이르시되내말이네가믿으면하나님의영광을보리라하지아니하였느냐하시니
요11:41 돌을옮겨놓으니예수께서눈을들어우러러보시고이르시되아버지여내말을들으신것을감사하나이다
요11:42 항상내말을들으시는줄을내가알았나이다그러나이말씀하옵는것은둘러선무리를위함이니곧아버지께서나를보내신것을그들로믿게하려함이니이다
요11:43 이말씀을하시고큰소리로나사로야나오라부르시니
요11:44 죽은자가수족을베로동인채로나오는데그얼굴은수건에싸였더라예수께서이르시되풀어놓아다니게하라하시니라
요11:45 마리아에게와서예수께서하신일을본많은유대인이그를믿었으나
요11:46 그중에어떤자는바리새인들에게가서예수께서하신일을알리니라
요11:47 이에대제사장들과바리새인들이공회를모으고이르되이사람이많은표적을행하니우리가어떻게하겠느냐
요11:48 만일그를이대로두면모든사람이그를믿을것이요그리고로마인들이와서우리땅과민족을빼앗아가리라하니
요11:49 그중의한사람그해의대제사장인가야바가그들에게말하되너희가아무것도알지못하는도다
요11:50 한사람이백성을위하여죽어서온민족이망하지않게되는것이너희에게유익한줄을생각하지아니하는도다하였으니
요11:51 이말은스스로함이아니요그해의대제사장이므로예수께서그민족을위하시고
요11:52 또그민족만위할뿐아니라흩어진하나님의자녀를모아하나가되게하기위하여죽으실것을미리말함이러라
요11:53 이날부터는그들이예수를죽이려고모의하니라
요11:54 그러므로예수께서다시유대인가운데드러나게다니지아니하시고거기를떠나빈들가까운곳인에브라임이라는동네에가서제자들과함께거기머무르시니라
요11:55 유대인의유월절이가까우매많은사람이자기를성결하게하기위하여유월절전에시골에서예루살렘으로올라갔더니
요11:56 그들이예수를찾으며성전에서서서로말하되너희생각에는어떠하냐그가명절에오지아니하겠느냐하니
요11:57 이는대제사장들과바리새인들이누구든지예수있는곳을알거든신고하여잡게하라명령하였음이러라
요12:1 유월절엿새전에예수께서베다니에이르시니이곳은예수께서죽은자가운데서살리신나사로가있는곳이라
요12:2 거기서예수를위하여잔치할새마르다는일을하고나사로는예수와함께앉은자중에있더라
요12:3 마리아는지극히비싼향유곧순전한나드한근을가져다가예수의발에붓고자기머리털로그의발을닦으니향유냄새가집에가득하더라
요12:4 제자중하나로서예수를잡아줄가룟유다가말하되
요12:5 이향유를어찌하여삼백데나리온에팔아가난한자들에게주지아니하였느냐하니
요12:6 이렇게말함은가난한자들을생각함이아니요그는도둑이라돈궤를맡고거기넣는것을훔쳐감이러라
요12:7 예수께서이르시되그를가만두어나의장례할날을위하여그것을간직하게하라
요12:8 가난한자들은항상너희와함께있거니와나는항상있지아니하리라하시니라
요12:9 유대인의큰무리가예수께서여기계신줄을알고오니이는예수만보기위함이아니요죽은자가운데서살리신나사로도보려함이러라
요12:10 대제사장들이나사로까지죽이려고모의하니
요12:11 나사로때문에많은유대인이가서예수를믿음이러라
요12:12 그이튿날에는명절에온큰무리가예수께서예루살렘으로오신다는것을듣고
요12:13 종려나무가지를가지고맞으러나가외치되호산나찬송하리로다주의이름으로오시는이곧이스라엘의왕이시여하더라
요12:14 예수는한어린나귀를보고타시니
요12:15 이는기록된바시온딸아두려워하지말라보라너의왕이나귀새끼를타고오신다함과같더라
요12:16 제자들은처음에이일을깨닫지못하였다가예수께서영광을얻으신후에야이것이예수께대하여기록된것임과사람들이예수께이같이한것임이생각났더라
요12:17 나사로를무덤에서불러내어죽은자가운데서살리실때에함께있던무리가증언한지라
요12:18 이에무리가예수를맞음은이표적행하심을들었음이러라
요12:19 바리새인들이서로말하되볼지어다너희하는일이쓸데없다보라온세상이그를따르는도다하니라
요12:20 명절에예배하러올라온사람중에헬라인몇이있는데
요12:21 그들이갈릴리벳새다사람빌립에게가서청하여이르되선생이여우리가예수를뵈옵고자하나이다하니
요12:22 빌립이안드레에게가서말하고안드레와빌립이예수께가서여쭈니
요12:23 예수께서대답하여이르시되인자가영광을얻을때가왔도다
요12:24 내가진실로진실로너희에게이르노니한알의밀이땅에떨어져죽지아니하면한알그대로있고죽으면많은열매를맺느니라
요12:25 자기의생명을사랑하는자는잃어버릴것이요이세상에서자기의생명을미워하는자는영생하도록보전하리라
요12:26 사람이나를섬기려면나를따르라나있는곳에나를섬기는자도거기있으리니사람이나를섬기면내아버지께서그를귀히여기시리라
요12:27 지금내마음이괴로우니무슨말을하리요아버지여나를구원하여이때를면하게하여주옵소서그러나내가이를위하여이때에왔나이다
요12:28 아버지여,아버지의이름을영광스럽게하옵소서하시니이에하늘에서소리가나서이르되내가이미영광스럽게하였고또다시영광스럽게하리라하시니
요12:29 곁에서서들은무리는천둥이울었다고도하며또어떤이들은천사가그에게말하였다고도하니
요12:30 예수께서대답하여이르시되이소리가난것은나를위한것이아니요너희를위한것이니라
요12:31 이제이세상에대한심판이이르렀으니이세상의임금이쫓겨나리라
요12:32 내가땅에서들리면모든사람을내게로이끌겠노라하시니
요12:33 이렇게말씀하심은자기가어떠한죽음으로죽을것을보이심이러라
요12:34 이에무리가대답하되우리는율법에서그리스도가영원히계신다함을들었거늘너는어찌하여인자가들려야하리라하느냐이인자는누구냐
요12:35 예수께서이르시되아직잠시동안빛이너희중에있으니빛이있을동안에다녀어둠에붙잡히지않게하라어둠에다니는자는그가는곳을알지못하느니라
요12:36 너희에게아직빛이있을동안에빛을믿으라그리하면빛의아들이되리라
요12:37 이렇게많은표적을그들앞에서행하셨으나그를믿지아니하니
요12:38 이는선지자이사야의말씀을이루려하심이라이르되주여우리에게서들은바를누가믿었으며주의팔이누구에게나타났나이까하였더라
요12:39 그들이능히믿지못한것은이때문이니곧이사야가다시일렀으되
요12:40 그들의눈을멀게하시고그들의마음을완고하게하셨으니이는그들로하여금눈으로보고마음으로깨닫고돌이켜내게고침을받지못하게하려함이라하였음이더라
요12:41 이사야가이렇게말한것은주의영광을보고주를가리켜말한것이라
요12:42 그러나관리중에도그를믿는자가많되바리새인들때문에드러나게말하지못하니이는출교를당할까두려워함이라
요12:43 그들은사람의영광을하나님의영광보다더사랑하였더라
요12:44 예수께서외쳐이르시되나를믿는자는나를믿는것이아니요나를보내신이를믿는것이며
요12:45 나를보는자는나를보내신이를보는것이니라
요12:46 나는빛으로세상에왔나니무릇나를믿는자로어둠에거하지않게하려함이로라
요12:47 사람이내말을듣고지키지아니할지라도내가그를심판하지아니하노라내가온것은세상을심판하려함이아니요세상을구원하려함이로라
요12:48 나를저버리고내말을받지아니하는자를심판할이가있으니곧내가한그말이마지막날에그를심판하리라
요12:49 내가내자의로말한것이아니요나를보내신아버지께서내가말할것과이를것을친히명령하여주셨으니
요12:50 나는그의명령이영생인줄아노라그러므로내가이르는것은내아버지께서내게말씀하신그대로니라하시니라
요13:1 유월절전에예수께서자기가세상을떠나아버지께로돌아가실때가이른줄아시고세상에있는자기사람들을사랑하시되끝까지사랑하시니라
요13:2 마귀가벌써시몬의아들가룟유다의마음에예수를팔려는생각을넣었더라
요13:3 저녁먹는중예수는아버지께서모든것을자기손에맡기신것과또자기가하나님께로부터오셨다가하나님께로돌아가실것을아시고
요13:4 저녁잡수시던자리에서일어나겉옷을벗고수건을가져다가허리에두르시고
요13:5 이에대야에물을떠서제자들의발을씻으시고그두르신수건으로닦기를시작하여
요13:6 시몬베드로에게이르시니베드로가이르되주여주께서내발을씻으시나이까
요13:7 예수께서대답하여이르시되내가하는것을네가지금은알지못하나이후에는알리라
요13:8 베드로가이르되내발을절대로씻지못하시리이다예수께서대답하시되내가너를씻어주지아니하면네가나와상관이없느니라
요13:9 시몬베드로가이르되주여내발뿐아니라손과머리도씻어주옵소서
요13:10 예수께서이르시되이미목욕한자는발밖에씻을필요가없느니라온몸이깨끗하니라너희가깨끗하나다는아니니라하시니
요13:11 이는자기를팔자가누구인지아심이라그러므로다는깨끗하지아니하다하시니라
요13:12 그들의발을씻으신후에옷을입으시고다시앉아그들에게이르시되내가너희에게행한것을너희가아느냐
요13:13 너희가나를선생이라또는주라하니너희말이옳도다내가그러하다
